upc,product_type,price_excl_tax,price_incl_tax,tax,title,category,url,raw_availability,raw_reviews,in_stock,stock_count,number_of_reviews
e00eb4fd7b871a48,Books,47.82,47.82,0.0,Sharp Objects,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,In stock (20 available),0,True,20,0
19ed25f4641d5efd,Books,19.63,19.63,0.0,"In a Dark, Dark Wood",Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,In stock (18 available),0,True,18,0
5ee94540d0749ea0,Books,56.5,56.5,0.0,The Past Never Ends,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,In stock (16 available),0,True,16,0
f733e8c19d40ec2e,Books,16.64,16.64,0.0,A Murder in Time,Mystery,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,In stock (16 available),0,True,16,0
c7b5183f4d1d4efe,Books,44.1,44.1,0.0,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,In stock (15 available),0,True,15,0
3bc89353f7e3a3cc,Books,54.21,54.21,0.0,The Last Mile (Amos Decker #2),Mystery,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,In stock (14 available),0,True,14,0
0c7b9cf2b7662b65,Books,13.92,13.92,0.0,That Darkness (Gardiner and Renner #1),Mystery,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,In stock (14 available),0,True,14,0
2d1e337aaf341858,Books,10.69,10.69,0.0,Tastes Like Fear (DI Marnie Rome #3),Mystery,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,In stock (14 available),0,True,14,0
4416c474713ec1f5,Books,48.35,48.35,0.0,A Time of Torment (Charlie Parker #14),Mystery,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,In stock (14 available),0,True,14,0
63ee5bc46066a8a8,Books,16.73,16.73,0.0,A Study in Scarlet (Sherlock Holmes #1),Mystery,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,In stock (14 available),0,True,14,0
abdd91e96515a617,Books,26.8,26.8,0.0,Poisonous (Max Revere Novels #3),Mystery,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,In stock (12 available),0,True,12,0
e7fe3bf2768602cf,Books,54.36,54.36,0.0,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,In stock (12 available),0,True,12,0
c039f5aceb093537,Books,35.28,35.28,0.0,Most Wanted,Mystery,https://books.toscrape.com/catalogue/most-wanted_623/index.html,In stock (12 available),0,True,12,0
bddc6fd036eb6279,Books,11.84,11.84,0.0,Hide Away (Eve Duncan #20),Mystery,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,In stock (12 available),0,True,12,0
49b24c6a41b82bd2,Books,59.48,59.48,0.0,Boar Island (Anna Pigeon #19),Mystery,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,In stock (12 available),0,True,12,0
6159d8b187831770,Books,27.26,27.26,0.0,The Widow,Mystery,https://books.toscrape.com/catalogue/the-widow_609/index.html,In stock (11 available),0,True,11,0
05a61a3bd8ca4149,Books,13.71,13.71,0.0,Playing with Fire,Mystery,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,In stock (11 available),0,True,11,0
9735c969c652dd89,Books,25.37,25.37,0.0,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,In stock (7 available),0,True,7,0
20789fb17b423c4c,Books,52.3,52.3,0.0,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,In stock (7 available),0,True,7,0
4e980425468708da,Books,20.89,20.89,0.0,Delivering the Truth (Quaker Midwife Mystery #1),Mystery,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,In stock (7 available),0,True,7,0
23356462d1320d61,Books,12.84,12.84,0.0,In Her Wake,Thriller,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,In stock (19 available),0,True,19,0
327f68a59745c102,Books,37.32,37.32,0.0,How Music Works,Music,https://books.toscrape.com/catalogue/how-music-works_979/index.html,In stock (19 available),0,True,19,0
5674a18a29a43ced,Books,30.52,30.52,0.0,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,In stock (19 available),0,True,19,0
c2e46a2ee3b4a322,Books,25.27,25.27,0.0,Chase Me (Paris Nights #2),Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,In stock (19 available),0,True,19,0
00bfed9e18bb36f3,Books,34.53,34.53,0.0,Black Dust,Romance,https://books.toscrape.com/catalogue/black-dust_976/index.html,In stock (19 available),0,True,19,0
9528d0948525bf5f,Books,54.64,54.64,0.0,Birdsong: A Story in Pictures,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,In stock (19 available),0,True,19,0
c7d160c2c0de586f,Books,22.5,22.5,0.0,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,In stock (19 available),0,True,19,0
