UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews,url,title,category
a22124811bfa8350,Books,£45.17,£45.17,£0.00,In stock (19 available),0,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,It's Only the Himalayas,Travel
ce60436f52c5ee68,Books,£49.43,£49.43,£0.00,In stock (15 available),0,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,Travel
f9705c362f070608,Books,£48.87,£48.87,£0.00,In stock (14 available),0,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,See America: A Celebration of Our National Parks & Treasured Sites,Travel
1809259a5a5f1d8d,Books,£36.94,£36.94,£0.00,In stock (8 available),0,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel
a94350ee74deaa07,Books,£37.33,£37.33,£0.00,In stock (7 available),0,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Under the Tuscan Sun,Travel
cc1936a9f4e93477,Books,£44.34,£44.34,£0.00,In stock (7 available),0,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,A Summer In Europe,Travel
48736df57e7bec9f,Books,£30.54,£30.54,£0.00,In stock (6 available),0,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,The Great Railway Bazaar,Travel
9e60929f521fa280,Books,£56.88,£56.88,£0.00,In stock (6 available),0,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,A Year in Provence (Provence #1),Travel
366a236aa1ea6f07,Books,£23.21,£23.21,£0.00,In stock (3 available),0,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel
747cf7fca2ccdbd4,Books,£38.95,£38.95,£0.00,In stock (3 available),0,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Neither Here nor There: Travels in Europe,Travel
228ba5e7577e1d49,Books,£26.08,£26.08,£0.00,In stock (1 available),0,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,"1,000 Places to See Before You Die",Travel
